Núm,Projeto,Relator,Atribuído a,Categoria,Data de Envio,Atualizado,Estado,Resumo,Corrigido na Versão,Data Limite,Descrição
0000410,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras Entradas / Saídas,2013-03-05,2013-08-09,fechado,Mensagem de validação ao lançar um produto com aliq. ICMS acima de 4% possui erros de ortografia.,,,"Mensagem de validação ao lançar um produto com aliq. ICMS acima de 4% possui erros de ortografia. Segue mensagem incorreta:

""Comforme a Resolução 13/2012 do Senado Federal, a alíquota de ICMS para este item deve ser de 4%""

Correto seria:

""Conforme a Resolução 13/2012 do Senado Federal, a alíquota de ICMS para este item deve ser de 4%"""
0000402,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-03-04,2013-08-09,fechado,"Ao definir um produto em promoção e após chamar esse produto pelo f7, o sistema esta trazendo o campo valor em branco.",,,"Ao definir um produto em promoção e após chamar esse produto pelo F7 na venda, o sistema esta trazendo o campo valor do produto em branco."
0000400,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Vendas,2013-03-04,2013-08-09,fechado,Erro F7 na Venda ao selecionar um produto o mesmo não estava vindo para a tela de venda.,,,"problema na venda ao localizar um produto e em seguida pressionar enter, o sistema não estava enviando o produto para a venda."
0000399,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-03-01,2013-08-09,fechado,"Venda a prazo para alguns produtos/cliente,exibe mensagem perguntando se o usuário deseja lançar acréscimo e solicita senha adm",,,"Problema ocorrido na Farmácia Fernandes versão 7.2.4.6. 

Ao fazer uma venda a prazo em alguns produtos/cliente, aparece uma mensagem perguntando se o usuário deseja lançar o produto com acréscimo e pedia uma senha com autorização."
0000396,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Cadastro de Produtos,2013-02-28,2013-08-09,fechado,"Alíquota ICMS dentro do estado está indo na venda com cliente para fora do estado, quando a alíquota dentro do estado for < 4",,,"Ao fazer venda com cliente para fora do estado, ao lançar o produto a Alíquota ICMS para fora do estado que era para ser enviada está na verdade enviando a alíquota ICMS de dentro do estado, quando a alíquota de dentro do estado é menor do que 4."
0000395,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-02-27,2013-08-09,fechado,"Relatório ""10-Conferência de Pedido"" não está de acordo com o que foi solicitado.",,,"Relatório Conferência de Pedido: Criar um relatório no GP de conferência de pedido, onde o usuário possa filtrar por data ou número do pedido e ele apresente os produtos daquele pedido e se estes produtos estavam de acordo com a conferência."
0000394,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-02-27,2013-08-09,fechado,"Formulário do relatório ""10 - Conferência de Pedido""  não está funcionando corretamente no windows 7.",,,"Formulário do relatório ""10 - Conferência de Pedido""  não está funcionando corretamente no windows 7

segue imagem em anexo"
0000393,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-02-27,2013-08-09,fechado,"Tecla de atalho ""10 - Conferência de Pedido"" não está funcionando corretamente nos relatórios",,,"Ao chamar o relatório ""10 - Conferência de Pedido"" o sistema não esta aceitando a tecla de atalho como 10, ao invés disso o sistema esta chamando o relatório 1 - Resumo de Contas a Pagar. "
0000392,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-02-27,2013-08-09,fechado,conferência de pedido não esta funcionando corretamente após lançar um produto.,,,"Após lançar o produto e fazer a ""conferência de pedido"" os totalizadores ""Itens"", ""Qtde"" e ""Total"" ainda permanecem na tela."
0000391,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Outras,2013-02-27,2013-08-09,fechado,"Erro ao gerar xml com o campo da nota ""CFOP"" em branco",,,"Ao tentar gerar o xml de um pedido em que o cabeçalho da nota esta sem o CFOP, ao gerar o xml o sistema esta mostrando a seguinte mensagem de erro:

Access violation at address 00921EAB in module 'GP.exe'. Read of address 00000000
O comando não pôde ser executado!"
0000390,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Relatórios,2013-02-27,2013-08-09,fechado,"Relatório ""Mapa de Vendas"" não esta funcionando corretamente quando não é selecionado o tipo de cliente",,,"Ao gerar o relatório ""Mapa de Vendas"" sem selecionar o tipo de cliente, o sistema esta exibindo a seguinte mensagem de erro:

Stream read error
O comando não pôde ser executado!"
0000389,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2013-02-27,2013-08-09,fechado,"O campo ""Pr. Sugerido"" não esta funcionando corretamente ao alterar um produto na entrada de mercadoria.",,,"Ao alterar o Markup (Pr. Venda), o sistema exibe uma mensagem perguntando se eu desejo salvar o valor no cadastro do produto, ao clicar em não, o sistema gera o preço sugerido e o preço de venda,apos o lançamento desse produto e em seguida clicar em alterar o sistema não esta mostrando o valor do campo ""Pr. Sugerido"" corretamente.  "
0000388,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Entrada de Mercadoria,2013-02-26,2013-08-09,fechado,"Erro ao preencher o campo ""Markup (Pr. Venda)"" e pressionar enter, após o lançamento do produto.",,,"Ao preencher o campo ""Markup (Pr. Venda)"" e pressionar enter antes ou após o lançamento do produto, o sistema exibe a seguinte mensagem de erro:

Cannot focus a disabled or invisible window
O comando não pôde ser executado!

OBS. a configuração na aba estoque ""40) Alterar markup na entrada de mercadorias"" tem que estar marcada"
0000384,C Projeto GPFB,Ytalo,Claudio,[C Projeto GPFB]-[Cat] Relatórios,2013-02-25,2013-08-09,fechado,"Campo ""Série"" não esta funcionando corretamente no relatório de entrada e saída.",,,"Campo ""Série"" esta disponível para qualquer ""modelo de nota"" a partir do momento que eu mudo as ""opções de nota"", ao preencher o campo e mandar gerar o relatório o filtro não funciona mostrando todas as series registradas."
0000383,C Projeto GPFB,Ytalo,Jeferson,[C Projeto GPFB]-[Cat] Vendas,2013-02-25,2013-08-09,fechado,"Lançamento de produto pelo F7 na venda, não está trazendo os impostos.",,,"Ao lançar um produto pelo F7 na venda, o sistema não esta trazendo os impostos (CST ICMS, ICMS, CST PIS, CST COFINS) deste produto como também a alíquota."
